ห้อง,ไฟ,น้ำ,,,ไฟล่าสุด,ไฟเดิม,,/หน่วย,บาท,,น้ำล่าสุด,น้ำเดิม,,/หน่วย,บาท,,รวม,ขยะ,บาท,
15ก,5366.0,1491.0,1500.0,,5366,5119.0,247,8.0,1976,,1491,1477.0,14,20.0,280,,3756,20.0,3776,
13.0,3291.0,1710.0,1500.0,,3291,3267.0,24,8.0,192,,1710,1707.0,3,20.0,60,,1752,20.0,1772,
14.0,9927.0,3313.0,1200.0,,9927,9840.0,87,8.0,696,,3313,3299.0,14,20.0,280,,2176,20.0,2196,
15.0,9876.0,1639.0,1200.0,,9876,9753.0,123,8.0,984,,1639,1635.0,4,20.0,80,,2264,20.0,2284,
16.0,8571.0,310.0,2000.0,,8571,8438.0,133,8.0,1064,,310,301.0,9,20.0,180,,3244,20.0,3264,
17.0,1829.0,3023.0,1500.0,,1829,1807.0,22,8.0,176,,3023,3022.0,1,20.0,20,,1696,20.0,1716,
18.0,9809.0,1395.0,1500.0,,9809,9773.0,36,8.0,288,,1395,1385.0,10,20.0,200,,1988,20.0,2008,
19.0,10026.0,1569.0,1500.0,,10026,9985.0,41,8.0,328,,1569,1560.0,9,20.0,180,,2008,20.0,2028,
20.0,6132.0,1954.0,1500.0,,6132,6000.0,132,8.0,1056,,1954,1940.0,14,20.0,280,,2836,20.0,2856,
21.0,926.0,89.0,1500.0,,926,917.0,9,8.0,72,,89,88.0,1,20.0,20,,1592,20.0,1612,
22.0,3402.0,1446.0,1500.0,,3402,3400.0,2,8.0,16,,1446,1443.0,3,20.0,60,,1576,20.0,1596,
23.0,1952.0,1144.0,1500.0,,1952,1901.0,51,8.0,408,,1144,1139.0,5,20.0,100,,2008,20.0,2028,
24.0,3941.0,1077.0,2000.0,,3941,3835.0,106,8.0,848,,1077,1050.0,27,20.0,540,,3388,20.0,3408,
25.0,4078.0,1979.0,1500.0,,4078,4063.0,15,8.0,120,,1979,1970.0,9,20.0,180,,1800,20.0,1820,
26.0,1870.0,1575.0,2000.0,,1870,1797.0,73,8.0,584,,1575,1568.0,7,20.0,140,,2724,20.0,2744,
27.0,4666.0,1719.0,1500.0,,4666,4505.0,161,8.0,1288,,1719,1703.0,16,20.0,320,,3108,20.0,3128,
28.0,763.0,558.0,1500.0,,763,748.0,15,8.0,120,,558,556.0,2,20.0,40,,1660,20.0,1680,
29.0,1692.0,1199.0,1500.0,,1692,1679.0,13,8.0,104,,1199,1197.0,2,20.0,40,,1644,20.0,1664,
30.0,109.0,1381.0,1500.0,,109,42.0,67,8.0,536,,1381,1374.0,7,20.0,140,,2176,20.0,2196,
31.0,518.0,1672.0,1500.0,,518,448.0,70,8.0,560,,1672,1665.0,7,20.0,140,,2200,20.0,2220,
32.0,997.0,1299.0,1500.0,,997,996.0,1,8.0,8,,1299,1299.0,0,20.0,0,,1508,20.0,1528,
33.0,78.0,1586.0,1400.0,,78,25.0,53,8.0,424,,1586,1581.0,5,20.0,100,,1924,20.0,1944,
,รวมค่าห้อง,,33800,,,,รวมค่าไฟ,,11848,,,,รวมค่าน้ำ,,3380,,รวมค่่าใช้จ่าย,,49468,
,,,,,,,,,,,,,,,,,,,,
ร้านใหญ่,20839.0,1364.0,15000.0,,20839,20437.0,402,8.0,3216,,1364,1358.0,6,20.0,120,,18336,20.0,18356,
,,,,,,,,,,,,,,,,,รวมค่าห้องทั้งหมด,,67824,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,ค่าห้อง,,,,ห้องเช่า  ,67824,,,,,,,,,,,,,
,,ค่าเช่า,,,,,67824,฿,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
